locus_tag	GO_ID
slr0115	GO:0097167
slr0787	GO:0000309
slr0787	GO:0005524
slr0787	GO:0005737
slr0787	GO:0009435
slr0787	GO:0016787
slr0787	GO:0042802
sll0797	GO:0000156
sll0797	GO:0000976
sll0797	GO:0005829
sll0797	GO:0006355
sll0797	GO:0032993
slr0342	GO:0009512
slr0342	GO:0015979
slr0342	GO:0022904
slr0342	GO:0031676
slr0342	GO:0045158
slr0342	GO:0046872
sll0613	GO:0000400
sll0613	GO:0005524
sll0613	GO:0005737
sll0613	GO:0006281
sll0613	GO:0006310
sll0613	GO:0009378
sll0613	GO:0016887
sll0613	GO:0048476
slr0798	GO:0005524
slr0798	GO:0005886
slr0798	GO:0006829
slr0798	GO:0015086
slr0798	GO:0016020
slr0798	GO:0016463
slr0798	GO:0016887
slr0798	GO:0030001
slr0798	GO:0046872
slr0798	GO:0055085
sll0135	GO:0005829
sll0135	GO:0006166
sll0135	GO:0017061
sll0135	GO:0019509
ssr2831	GO:0009538
ssr2831	GO:0015979
ssr2831	GO:0031676
sll1327	GO:0005524
sll1327	GO:0015986
sll1327	GO:0031676
sll1327	GO:0045260
sll1327	GO:0045261
sll1327	GO:0046933
slr1279	GO:0008137
slr1279	GO:0019684
slr1279	GO:0030964
slr1279	GO:0031676
slr1279	GO:0048038
slr0737	GO:0009538
slr0737	GO:0015979
slr0737	GO:0030094
sll0698	GO:0000155
sll0698	GO:0005524
sll0698	GO:0005886
sll0698	GO:0006355
sll0698	GO:0009635
slr0738	GO:0000162
slr0738	GO:0004049
slr0738	GO:0046872
slr1350	GO:0005886
slr1350	GO:0006636
slr1350	GO:0016491
slr1350	GO:0102985
slr1350	GO:0102987
ssl2084	GO:0000035
ssl2084	GO:0000036
ssl2084	GO:0005829
ssl2084	GO:0009245
sll0199	GO:0005507
sll0199	GO:0009055
sll0199	GO:0031676
sll0170	GO:0005524
sll0170	GO:0005737
sll0170	GO:0016887
sll0170	GO:0031072
sll0170	GO:0042026
sll0170	GO:0044183
sll0170	GO:0051082
sll0170	GO:0051085
sll0170	GO:0140662
sll1746	GO:0003729
sll1746	GO:0003735
sll1746	GO:0006412
sll1746	GO:0022625
sll1747	GO:0004107
sll1747	GO:0005829
sll1747	GO:0008652
sll1747	GO:0009073
sll1747	GO:0009423
sll1747	GO:0010181
sll1341	GO:0004322
sll1341	GO:0005506
sll1341	GO:0005829
sll1341	GO:0006826
sll1341	GO:0006880
sll1341	GO:0008199
sll1341	GO:0020037
