Gene	sgRNA	eff
slr0612	slr0612|126	1
slr0612	slr0612|43	1
slr1102	slr1102|38	1
slr1102	slr1102|76	1
slr1102	slr1102|91	1
slr1102	slr1102|3	1
slr1102	slr1102|22	1
dfr	dfr|121	1
dfr	dfr|80	1
dfr	dfr|175	1
dfr	dfr|164	1
dfr	dfr|100	1
ycf6	ycf6|46	1
sll1052	sll1052|102	1
sll1052	sll1052|154	1
sll1052	sll1052|142	1
sll1052	sll1052|131	1
sll1052	sll1052|61	1
exbB	exbB|40	1
exbB	exbB|55	1
exbB	exbB|163	1
exbB	exbB|214	1
exbB	exbB|4	1
sll1054	sll1054|149	1
sll1054	sll1054|160	1
sll1054	sll1054|7	1
sll1054	sll1054|111	1
sll1054	sll1054|42	1
slr1094	slr1094|139	1
slr1094	slr1094|89	1
slr1094	slr1094|104	1
slr1094	slr1094|195	1
slr1094	slr1094|207	1
xerC	xerC|144	1
xerC	xerC|127	1
xerC	xerC|94	1
xerC	xerC|78	1
xerC	xerC|5	1
sgl0002	sgl0002|46	1
sgl0002	sgl0002|12	1
sgl0002	sgl0002|113	1
sll1214	sll1214|94	1
sll1214	sll1214|10	1
sll1214	sll1214|61	1
sll1214	sll1214|38	1
sll1214	sll1214|22	1
bcp2	bcp2|142	1
bcp2	bcp2|126	1
bcp2	bcp2|19	1
bcp2	bcp2|52	1
bcp2	bcp2|107	1
phoU	phoU|33	1
phoU	phoU|112	1
phoU	phoU|86	1
phoU	phoU|4	1
phoU	phoU|16	1
ubiX	ubiX|91	1
ubiX	ubiX|52	1
ubiX	ubiX|34	1
ubiX	ubiX|109	1
ubiX	ubiX|122	1
sds	sds|147	1
sds	sds|169	1
sds	sds|90	1
sds	sds|25	1
sds	sds|7	1
sll1053	sll1053|97	1
sll1053	sll1053|136	1
sll1053	sll1053|178	1
sll1053	sll1053|84	1
sll1053	sll1053|9	1
sll1401	sll1401|56	1
sll1401	sll1401|399	1
sll1401	sll1401|346	1
sll1401	sll1401|572	1
sll1400	sll1400|39	1
sll1400	sll1400|63	1
sll1400	sll1400|200	1
sll1400	sll1400|111	1
sll1407	sll1407|275	1
sll1407	sll1407|138	1
sll1407	sll1407|246	1
sll1407	sll1407|168	1
sll1407	sll1407|66	1
infB	infB|166	1
