# Program:featureCounts v2.0.1; Command:"featureCounts" "-F" "SAF" "-T" "5" "-a" "Synechocystis_v2_trimmed.saf" "-s" "0" "-o" "BG11_control_t0_r2_T1.featureCounts.txt" "BG11_control_t0_r2_T1.bam" 
Geneid	Chr	Start	End	Strand	Length	BG11_control_t0_r2_T1.bam
slr0722|104	slr0722|104	1	19	.	19	127
slr0722|88	slr0722|88	1	22	.	22	450
hhoA|23	hhoA|23	1	22	.	22	631
hhoA|9	hhoA|9	1	20	.	20	337
hhoA|133	hhoA|133	1	17	.	17	386
hhoA|114	hhoA|114	1	17	.	17	224
hhoA|76	hhoA|76	1	19	.	19	706
cbiF|116	cbiF|116	1	21	.	21	528
cbiF|165	cbiF|165	1	19	.	19	1075
cbiF|53	cbiF|53	1	20	.	20	953
cbiF|76	cbiF|76	1	17	.	17	209
cbiF|130	cbiF|130	1	17	.	17	153
slr1485|88	slr1485|88	1	20	.	20	293
slr1485|71	slr1485|71	1	18	.	18	998
slr1485|143	slr1485|143	1	21	.	21	997
slr1485|26	slr1485|26	1	19	.	19	830
slr1485|55	slr1485|55	1	19	.	19	385
slr1484|79	slr1484|79	1	20	.	20	501
slr1484|65	slr1484|65	1	18	.	18	443
slr1484|44	slr1484|44	1	22	.	22	23
slr1484|25	slr1484|25	1	20	.	20	178
slr1484|144	slr1484|144	1	22	.	22	191
iutA|114	iutA|114	1	20	.	20	269
iutA|186	iutA|186	1	21	.	21	455
iutA|301	iutA|301	1	20	.	20	107
iutA|84	iutA|84	1	20	.	20	324
iutA|238	iutA|238	1	18	.	18	179
pheA|52	pheA|52	1	20	.	20	506
pheA|3	pheA|3	1	18	.	18	243
pheA|114	pheA|114	1	21	.	21	554
pheA|30	pheA|30	1	20	.	20	738
pheA|136	pheA|136	1	22	.	22	447
slr1119|50	slr1119|50	1	18	.	18	343
slr1119|70	slr1119|70	1	19	.	19	848
slr1119|13	slr1119|13	1	17	.	17	340
slr1119|83	slr1119|83	1	20	.	20	271
slr1119|105	slr1119|105	1	22	.	22	263
ccmL|25	ccmL|25	1	21	.	21	172
ccmL|184	ccmL|184	1	22	.	22	129
ccmL|173	ccmL|173	1	17	.	17	437
ccmL|215	ccmL|215	1	19	.	19	272
ccmL|48	ccmL|48	1	19	.	19	827
slr1117|56	slr1117|56	1	18	.	18	295
slr1117|76	slr1117|76	1	20	.	20	648
slr1117|91	slr1117|91	1	22	.	22	383
slr1117|41	slr1117|41	1	19	.	19	138
slr1117|22	slr1117|22	1	19	.	19	434
slr1116|253	slr1116|253	1	18	.	18	383
slr1116|31	slr1116|31	1	22	.	22	336
slr1116|230	slr1116|230	1	22	.	22	294
slr1116|218	slr1116|218	1	17	.	17	402
slr1116|76	slr1116|76	1	18	.	18	324
slr1115|34	slr1115|34	1	22	.	22	731
slr1115|137	slr1115|137	1	20	.	20	444
slr1115|73	slr1115|73	1	20	.	20	281
slr1115|49	slr1115|49	1	19	.	19	126
slr1115|124	slr1115|124	1	18	.	18	712
slr1114|32	slr1114|32	1	21	.	21	123
slr1114|48	slr1114|48	1	17	.	17	318
slr1114|74	slr1114|74	1	17	.	17	294
slr1114|59	slr1114|59	1	18	.	18	235
slr1114|19	slr1114|19	1	18	.	18	290
slr1113|88	slr1113|88	1	20	.	20	424
slr1113|19	slr1113|19	1	20	.	20	361
slr1113|46	slr1113|46	1	21	.	21	340
slr1113|58	slr1113|58	1	20	.	20	525
